,percentile,age,survival_rate,death_rate
163,0-5%,58,0.8096694432546444,0.014771427446540475
164,0-5%,59,0.7948980158081039,0.015470888354367718
165,0-5%,60,0.7794271274537362,0.01611824195175038
166,0-5%,61,0.7633088855019858,0.016706508318996005
167,0-5%,62,0.7466023771829898,0.017235386316612922
168,0-5%,63,0.7293669908663769,0.017706447991270746
169,0-5%,64,0.7116605428751062,0.018122732460618574
170,0-5%,65,0.6935378104144876,0.018488534551108327
171,0-5%,66,0.6750492758633793,0.0188091786753547
172,0-5%,67,0.6562400971880246,0.01909079144276349
173,0-5%,68,0.6371493057452611,0.01934017523882814
174,0-5%,69,0.6178091305064329,0.019567359851039856
175,0-5%,70,0.5982417706553931,0.019785952390855233
176,0-5%,71,0.5784558182645378,0.02000982849635191
177,0-5%,72,0.5584459897681859,0.020252794477810365
178,0-5%,73,0.5381931952903756,0.02052850293147468
179,0-5%,74,0.5176646923589009,0.02085041201390836
180,0-5%,75,0.49681428034499253,0.021231757275185448
181,0-5%,76,0.4755825230698071,0.021685232650756947
182,0-5%,77,0.45389729041905014,0.022211638535220346
183,0-5%,78,0.4316856518838298,0.022794416471126233
184,0-5%,79,0.40889123541270356,0.02341275719114444
185,0-5%,80,0.3854784782215591,0.02404184619598193
186,0-5%,81,0.3614366320255772,0.024652148538765684
187,0-5%,82,0.3367844834868115,0.025208941618888314
188,0-5%,83,0.3115755418679232,0.02567224283477626
189,0-5%,84,0.28590329903314693,0.025997294164501472
190,0-5%,85,0.25990600486864546,0.026134507448346223
191,0-5%,86,0.23377149742029923,0.026031129513147316
192,0-5%,87,0.20774036790715192,0.025637222669535914
193,0-5%,88,0.182103145237616,0.024911052647708515
194,0-5%,89,0.1571920925899075,0.023825200448491346
195,0-5%,90,0.13336689214141614,0.022650421315035973
196,0-5%,91,0.11071647082638017,0.02078116716139053
197,0-5%,92,0.08993530366498964,0.018655949414883202
198,0-5%,93,0.07127935425010644,0.016341064902327347
199,0-5%,94,0.05493828934777909,0.013919421268137347
200,0-5%,95,0.041018868079641745,0.011371459833180907
201,0-5%,96,0.029647408246460838,0.00899302471400331
202,0-5%,97,0.020654383532457528,0.006855163126918827
203,0-5%,98,0.0137992204055387,0.005011256255398597
204,0-5%,99,0.008787964150140104,0.003491940539274687
205,0-5%,100,0.005296023610865417,0.002146912603856007
206,0-5%,101,0.00314911100700941,0.001328691639080068
207,0-5%,102,0.001820419367929342,0.0008155777114217434
208,0-5%,103,0.0010048416565075985,0.00047802344881946407
209,0-5%,104,0.0005268182076881345,0.0005268182076881345
315,10-15%,0,1.0,0.003915056707498921
316,10-15%,1,0.9960849432925011,0.0006844820031309817
317,10-15%,2,0.9954004612893701,0.00026453536404569267
318,10-15%,3,0.9951359259253244,0.0001959205364623351
319,10-15%,4,0.9949400053888621,0.0001525530269420594
320,10-15%,5,0.99478745236192,0.00012868388751552384
321,10-15%,6,0.9946587684744045,0.00011877483359890029
322,10-15%,7,0.9945399936408056,0.00010324554945073672
323,10-15%,8,0.9944367480913548,9.248128581762494e-05
324,10-15%,9,0.9943442668055372,8.708749522967629e-05
325,10-15%,10,0.9942571793103075,8.707986785960742e-05
326,10-15%,11,0.9941700994424479,8.883121710789865e-05
327,10-15%,12,0.99408126822534,9.52636943241103e-05
328,10-15%,13,0.9939860045310159,0.00011518654454556465
329,10-15%,14,0.9938708179864704,0.00014641382797375702
330,10-15%,15,0.9937244041584966,0.00018797138105797195
331,10-15%,16,0.9935364327774386,0.00024131437559604674
332,10-15%,17,0.9932951184018426,0.0003256612180877472
333,10-15%,18,0.9929694571837548,0.00043075079432652874
334,10-15%,19,0.9925387063894283,0.0005311772792195857
335,10-15%,20,0.9920075291102087,0.0005990323659726959
336,10-15%,21,0.991408496744236,0.0006370988704662572
337,10-15%,22,0.9907713978737698,0.0006778390562530712
338,10-15%,23,0.9900935588175167,0.000721568547509821
339,10-15%,24,0.9893719902700069,0.0007686484464712873
340,10-15%,25,0.9886033418235356,0.0008194921600588323
341,10-15%,26,0.9877838496634768,0.0008745734512937142
342,10-15%,27,0.986909276212183,0.0009344359603933317
343,10-15%,28,0.9859748402517897,0.0009997037225099037
344,10-15%,29,0.9849751365292798,0.0010710875084812832
345,10-15%,30,0.9839040490207985,0.0011494017249993327
346,10-15%,31,0.9827546472957992,0.0012355859201718111
347,10-15%,32,0.9815190613756274,0.0013307265002012736
348,10-15%,33,0.9801883348754261,0.0014360826409471894
349,10-15%,34,0.9787522522344789,0.001553117320040709
350,10-15%,35,0.9771991349144382,0.0016835345577497218
351,10-15%,36,0.9755156003566885,0.0018292919750589887
352,10-15%,37,0.9736863083816295,0.0019922781858262573
353,10-15%,38,0.9716940301958032,0.0021743522835055984
354,10-15%,39,0.9695196779122977,0.0023775411329314267
355,10-15%,40,0.9671421367793662,0.0026040454493972964
356,10-15%,41,0.9645380913299689,0.0028562388122687077
357,10-15%,42,0.9616818525177002,0.0031366617958908938
358,10-15%,43,0.9585451907218093,0.003448009843109001
359,10-15%,44,0.9550971808787003,0.0037930850951178874
360,10-15%,45,0.9513040957835824,0.004174347416166735
361,10-15%,46,0.9471297483674157,0.004593778763861134
362,10-15%,47,0.9425359696035546,0.005052989351611248
363,10-15%,48,0.9374829802519433,0.005553074218963117
364,10-15%,49,0.9319299060329802,0.006094443581209141
365,10-15%,50,0.9258354624517711,0.006676636717822149
366,10-15%,51,0.9191588257339489,0.007298125401801414
367,10-15%,52,0.9118607003321475,0.007956139817837826
368,10-15%,53,0.9039045605143097,0.008646929825879446
369,10-15%,54,0.8952576306884302,0.009365720450127402
370,10-15%,55,0.8858919102383028,0.01010631328591638
371,10-15%,56,0.8757855969523864,0.01086101581898713
372,10-15%,57,0.8649245811333993,0.011620638338052824
373,10-15%,58,0.8533039427953465,0.01237456017023042
